customer_id,customer_name,gender,age,area,membership_type
CUST00001,Customer_1,Female,42,Colaba,None
CUST00002,Customer_2,Male,30,Andheri,Gold
CUST00003,Customer_3,Female,60,Borivali,None
CUST00004,Customer_4,Female,34,Vashi,Gold
CUST00005,Customer_5,Female,27,Borivali,Silver
CUST00006,Customer_6,Female,44,Colaba,None
CUST00007,Customer_7,Male,57,Thane,Silver
CUST00008,Customer_8,Male,54,Powai,None
CUST00009,Customer_9,Male,38,Ghatkopar,Gold
CUST00010,Customer_10,Male,49,Ghatkopar,None
CUST00011,Customer_11,Male,49,Chembur,Gold
CUST00012,Customer_12,Female,23,Thane,Green
CUST00013,Customer_13,Male,55,Chembur,Gold
CUST00014,Customer_14,Male,36,Bandra,Silver
CUST00015,Customer_15,Male,41,Powai,Gold
CUST00016,Customer_16,Female,53,Andheri,Green
CUST00017,Customer_17,Male,19,Dadar,Silver
CUST00018,Customer_18,Male,37,Ghatkopar,None
CUST00019,Customer_19,Male,58,Thane,Gold
CUST00020,Customer_20,Male,32,Dadar,Gold
CUST00021,Customer_21,Female,47,Bandra,Green
CUST00022,Customer_22,Male,18,Ghatkopar,Green
CUST00023,Customer_23,Female,40,Dadar,Gold
CUST00024,Customer_24,Male,37,Colaba,Gold
CUST00025,Customer_25,Female,35,Ghatkopar,Gold
CUST00026,Customer_26,Male,18,Borivali,None
CUST00027,Customer_27,Female,47,Bandra,Green
CUST00028,Customer_28,Male,34,Ghatkopar,Green
CUST00029,Customer_29,Female,35,Bandra,None
CUST00030,Customer_30,Female,60,Borivali,Gold
CUST00031,Customer_31,Male,56,Andheri,Green
CUST00032,Customer_32,Female,20,Chembur,Gold
CUST00033,Customer_33,Male,28,Colaba,Gold
CUST00034,Customer_34,Female,26,Colaba,Silver
CUST00035,Customer_35,Female,27,Vashi,Silver
CUST00036,Customer_36,Male,41,Chembur,None
CUST00037,Customer_37,Female,53,Chembur,Gold
CUST00038,Customer_38,Female,28,Borivali,None
CUST00039,Customer_39,Female,29,Powai,Green
CUST00040,Customer_40,Male,18,Colaba,Gold
CUST00041,Customer_41,Male,55,Chembur,Silver
CUST00042,Customer_42,Male,48,Thane,Silver
CUST00043,Customer_43,Female,50,Colaba,Silver
CUST00044,Customer_44,Female,24,Ghatkopar,Gold
CUST00045,Customer_45,Male,51,Thane,Silver
CUST00046,Customer_46,Female,28,Powai,Silver
CUST00047,Customer_47,Female,37,Chembur,Silver
CUST00048,Customer_48,Female,29,Colaba,Gold
CUST00049,Customer_49,Female,28,Andheri,Green
CUST00050,Customer_50,Male,31,Powai,None
CUST00051,Customer_51,Male,18,Bandra,Green
CUST00052,Customer_52,Male,22,Andheri,Silver
CUST00053,Customer_53,Female,48,Colaba,Silver
CUST00054,Customer_54,Male,53,Thane,Gold
CUST00055,Customer_55,Male,31,Dadar,Gold
CUST00056,Customer_56,Male,19,Andheri,Silver
CUST00057,Customer_57,Male,49,Andheri,Gold
