detail_id,order_id,product_id,quantity
DET00001,ORD02972,PROD003,4
DET00002,ORD02109,PROD016,2
DET00003,ORD00724,PROD028,1
DET00004,ORD04704,PROD049,1
DET00005,ORD01494,PROD013,2
DET00006,ORD02906,PROD024,2
DET00007,ORD03619,PROD039,1
DET00008,ORD01972,PROD027,2
DET00009,ORD01812,PROD024,4
DET00010,ORD04631,PROD024,3
DET00011,ORD00978,PROD015,3
DET00012,ORD04462,PROD018,3
DET00013,ORD04003,PROD010,3
DET00014,ORD03818,PROD008,4
DET00015,ORD02693,PROD033,4
DET00016,ORD03931,PROD015,3
DET00017,ORD03509,PROD019,2
DET00018,ORD00983,PROD045,2
DET00019,ORD04939,PROD008,4
DET00020,ORD02070,PROD019,4
DET00021,ORD00751,PROD048,4
DET00022,ORD04855,PROD027,4
DET00023,ORD02626,PROD004,4
DET00024,ORD00407,PROD017,2
DET00025,ORD00492,PROD027,2
DET00026,ORD04919,PROD017,4
DET00027,ORD04035,PROD005,4
DET00028,ORD01636,PROD018,3
DET00029,ORD02626,PROD002,3
DET00030,ORD00290,PROD045,1
DET00031,ORD04335,PROD047,4
DET00032,ORD02333,PROD023,4
DET00033,ORD01983,PROD010,2
DET00034,ORD00879,PROD049,4
DET00035,ORD00473,PROD050,4
DET00036,ORD04332,PROD007,2
DET00037,ORD03773,PROD044,1
DET00038,ORD01509,PROD050,4
DET00039,ORD03663,PROD047,3
DET00040,ORD04430,PROD038,4
DET00041,ORD03622,PROD008,1
DET00042,ORD01081,PROD004,2
DET00043,ORD00482,PROD036,3
DET00044,ORD01751,PROD017,2
DET00045,ORD04143,PROD039,2
DET00046,ORD03007,PROD029,4
DET00047,ORD02910,PROD036,2
DET00048,ORD00307,PROD016,3
DET00049,ORD01827,PROD041,4
DET00050,ORD00937,PROD040,4
DET00051,ORD03758,PROD046,3
DET00052,ORD03956,PROD025,4
DET00053,ORD04946,PROD045,3
DET00054,ORD04515,PROD039,3
DET00055,ORD00248,PROD045,4
DET00056,ORD04314,PROD009,2
DET00057,ORD04229,PROD047,1
DET00058,ORD02202,PROD038,4
DET00059,ORD00205,PROD043,1
DET00060,ORD04140,PROD031,1
DET00061,ORD04325,PROD040,2
DET00062,ORD03353,PROD015,1
DET00063,ORD00832,PROD005,1
DET00064,ORD01563,PROD023,2
DET00065,ORD00884,PROD045,1
DET00066,ORD00459,PROD038,1
DET00067,ORD00445,PROD026,1
DET00068,ORD02344,PROD002,3
DET00069,ORD03660,PROD037,4
DET00070,ORD02266,PROD008,2
DET00071,ORD04955,PROD047,4
DET00072,ORD01270,PROD042,4
DET00073,ORD02466,PROD045,3
