order_id,customer_id,store_id,order_date
ORD00001,CUST04843,STORE004,2025-03-07
ORD00002,CUST04127,STORE003,2025-12-18
ORD00003,CUST04760,STORE013,2025-04-07
ORD00004,CUST04244,STORE019,2025-02-25
ORD00005,CUST00278,STORE017,2025-06-26
ORD00006,CUST04277,STORE015,2025-10-29
ORD00007,CUST03065,STORE018,2025-06-18
ORD00008,CUST04078,STORE004,2025-12-28
ORD00009,CUST02034,STORE007,2025-08-18
ORD00010,CUST01322,STORE001,2025-02-22
ORD00011,CUST02235,STORE007,2025-12-25
ORD00012,CUST01184,STORE019,2025-06-12
ORD00013,CUST04386,STORE011,2025-04-15
ORD00014,CUST03276,STORE017,2025-12-09
ORD00015,CUST00198,STORE020,2025-01-16
ORD00016,CUST02168,STORE012,2025-12-31
ORD00017,CUST04243,STORE003,2025-06-25
ORD00018,CUST01325,STORE003,2025-06-23
ORD00019,CUST00015,STORE012,2025-07-22
ORD00020,CUST03680,STORE013,2025-09-12
ORD00021,CUST03235,STORE015,2025-06-01
ORD00022,CUST01271,STORE013,2025-07-07
ORD00023,CUST01824,STORE020,2025-03-22
ORD00024,CUST00996,STORE014,2025-10-08
ORD00025,CUST00918,STORE013,2025-10-11
ORD00026,CUST00533,STORE004,2025-07-13
ORD00027,CUST00484,STORE011,2025-04-13
ORD00028,CUST04796,STORE005,2025-11-15
ORD00029,CUST04679,STORE010,2025-06-12
ORD00030,CUST00277,STORE002,2025-01-02
ORD00031,CUST04181,STORE013,2025-09-04
ORD00032,CUST02662,STORE001,2025-09-30
ORD00033,CUST03344,STORE017,2025-04-27
ORD00034,CUST02547,STORE016,2025-06-14
ORD00035,CUST01390,STORE006,2025-08-09
ORD00036,CUST02762,STORE017,2025-01-15
ORD00037,CUST04201,STORE014,2025-08-03
ORD00038,CUST00988,STORE007,2025-12-15
ORD00039,CUST01489,STORE005,2025-04-18
ORD00040,CUST03918,STORE018,2025-05-26
ORD00041,CUST04962,STORE006,2025-02-01
ORD00042,CUST00500,STORE017,2025-07-20
ORD00043,CUST03772,STORE016,2025-08-21
